observed_on,latitude,longitude,common_name,,,,,,,,,,,,,,
1/5/2023,44.61857681,-110.4834141,North American River Otter,,,,{position: {,lat:,44.61857681,",lng:",-110.4834141,"},","species:""",North American River Otter,""", date:""",1/5/2023,"""},"
1/7/2023,44.63788065,-110.5868344,North American River Otter,,,,{position: {,lat:,44.63788065,",lng:",-110.5868344,"},","species:""",North American River Otter,""", date:""",1/7/2023,"""},"
1/31/2023,43.72833161,-110.6850662,North American River Otter,,,,{position: {,lat:,43.72833161,",lng:",-110.6850662,"},","species:""",North American River Otter,""", date:""",1/31/2023,"""},"
9/18/2017,44.51668015,-110.5016609,North American River Otter,,,,{position: {,lat:,44.51668015,",lng:",-110.5016609,"},","species:""",North American River Otter,""", date:""",9/18/2017,"""},"
6/20/2010,44.51045777,-109.9550508,North American River Otter,,,,{position: {,lat:,44.51045777,",lng:",-109.9550508,"},","species:""",North American River Otter,""", date:""",6/20/2010,"""},"
9/16/2018,43.84839243,-110.6277881,North American River Otter,,,,{position: {,lat:,43.84839243,",lng:",-110.6277881,"},","species:""",North American River Otter,""", date:""",9/16/2018,"""},"
10/4/2008,43.56642507,-110.9279768,North American River Otter,,,,{position: {,lat:,43.56642507,",lng:",-110.9279768,"},","species:""",North American River Otter,""", date:""",10/4/2008,"""},"
9/1/2006,44.51324811,-110.2874794,North American River Otter,,,,{position: {,lat:,44.51324811,",lng:",-110.2874794,"},","species:""",North American River Otter,""", date:""",9/1/2006,"""},"
12/1/2019,43.52559398,-110.7319653,North American River Otter,,,,{position: {,lat:,43.52559398,",lng:",-110.7319653,"},","species:""",North American River Otter,""", date:""",12/1/2019,"""},"
1/26/2018,44.83530146,-110.089699,North American River Otter,,,,{position: {,lat:,44.83530146,",lng:",-110.089699,"},","species:""",North American River Otter,""", date:""",1/26/2018,"""},"
5/10/2023,44.64388776,-110.565938,North American River Otter,,,,{position: {,lat:,44.64388776,",lng:",-110.565938,"},","species:""",North American River Otter,""", date:""",5/10/2023,"""},"
5/10/2023,44.4369091,-110.3499468,North American River Otter,,,,{position: {,lat:,44.4369091,",lng:",-110.3499468,"},","species:""",North American River Otter,""", date:""",5/10/2023,"""},"
5/28/2023,44.99995013,-110.1402405,North American River Otter,,,,{position: {,lat:,44.99995013,",lng:",-110.1402405,"},","species:""",North American River Otter,""", date:""",5/28/2023,"""},"
3/4/2023,41.41612768,-109.4558012,North American River Otter,,,,{position: {,lat:,41.41612768,",lng:",-109.4558012,"},","species:""",North American River Otter,""", date:""",3/4/2023,"""},"
6/3/2023,44.99282493,-110.099691,North American River Otter,,,,{position: {,lat:,44.99282493,",lng:",-110.099691,"},","species:""",North American River Otter,""", date:""",6/3/2023,"""},"
6/20/2023,43.83425568,-110.4559472,North American River Otter,,,,{position: {,lat:,43.83425568,",lng:",-110.4559472,"},","species:""",North American River Otter,""", date:""",6/20/2023,"""},"
